team,team_name,division,gender,competition,region,conference,id
Southern Illinois,Full Tilt,College,Men,Division I,Great Lakes,Illinois D-I,1589
Calvin,Calvin Ultimate,College,Men,Division III,Great Lakes,Illinois D-III,1590
Waterloo,Warriors,College,Men,Division I,Metro East,Western NY DI,1591
SUNY-Brockport,Brockport Alumni,College,Men,Division I,Metro East,Western NY DI,1592
Le Moyne,Goblins,College,Men,Division III,Metro East,Western NY DIII,1593
SUNY-Potsdam,Perfect Storm,College,Men,Division III,Metro East,Western NY DIII,1594
Bryant B,,College,Men,Developmental,New England,South New England Dev,1595
Brown C,,College,Men,Developmental,New England,South New England Dev,1596
Rhode Island College,RIC,College,Men,Developmental,New England,New England Dev,1597
Wentworth Tech,Concrete Jungle,College,Men,Division III,New England,Metro Boston DIII,1598
Merrimack,Merrimack Ultimate,College,Men,Division III,New England,Metro Boston DIII,1599
Stonehil,,College,Men,Division III,New England,Metro Boston DIII,1600
Berklee,GottaGoFast,College,Men,Division III,New England,Metro Boston DIII,1601
Hampshire,Red Scare,College,Men,Division III,New England,South New England D-III,1602
South Dakota Mines,Skynamics,College,Men,Division III,North Central,Northwoods D-III,1603
Gustavus Adolphus,The High,College,Men,Division III,North Central,Northwoods D-III,1604
St Mary's Minnesota,,College,Men,Division III,North Central,Northwoods D-III,1605
Oregon B,,College,Men,Division I,Northwest,Cascadia D-I,1606
Philadelphia University,,College,Men,Division III,Ohio Valley,Pennsylvania D-III,1607
Pittsburgh-Johnstown,Flood,College,Men,Division III,Ohio Valley,West Penn DIII,1608
Clarion,Forkmen,College,Men,Division III,Ohio Valley,West Penn DIII,1609
Midwestern State,Cavalry,College,Men,Division III,Southwest,Texas D-III,1610
Spring Hill,SHUC,College,Men,Division III,Southeast,Southeast D-III,1611
Rhodes,Rhodekill,College,Men,Division III,Southeast,Southeast D-III,1612
Reinhardt,Wingspan,College,Men,Division III,Southeast,Southeast D-III,1613
Louisiana College,Sorrowbear,College,Men,Division III,Southeast,Southeast D-III,1614
Westmont,Westmont Wildfire,College,Men,Division III,Southwest,Southwest D-III,1615
Illinois State,Gnomes,College,Women,Division I,Great Lakes,Illinois D-I,1616
Illinois B,,College,Women,Division I,Great Lakes,Illinois D-I,1617
Bradley,Angry Otters,College,Women,Division III,Great Lakes,Illinois D-III,1618
MIT B,,College,Women,Developmental,New England,Metro Boston Dev,1619
New Hampshire B,,College,Women,Developmental,New England,New England Dev,1620
Rhode Island College,RIC,College,Women,Developmental,New England,New England Dev,1621
Rhode Island B,,College,Women,Developmental,New England,South New England Dev,1622
Wisconsin-Whitewater,Sub*Par,College,Women,Division I,North Central,Lake Superior DI,1623
Grinnell B,,College,Women,Division III,North Central,North Central DIII,1624
St Olaf B,,College,Women,Division III,North Central,North Central DIII,1625
Edinboro,Haggis,College,Women,Division I,Ohio Valley,West Penn DI,1626
Denison,Denison Frisbee Ultimate Club,College,Women,Division III,Ohio Valley,Ohio D-III,1627
Philadelphia University,,College,Women,Division III,Ohio Valley,Pennsylvania D-III,1628
Gettysburg,Gettysburg Funk,College,Women,Division III,Ohio Valley,Pennsylvania D-III,1629
Franklin & Marshall,Deep Blue,College,Women,Division III,Ohio Valley,East Penn DIII,1630
Haverford B,,College,Women,Division III,Ohio Valley,Pennsylvania D-III,1631
Harding,Harding Apocalypse,College,Women,Division I,South Central,Ozarks D-I,1632
Florida State B,,College,Women,Division I,Southeast,Florida D-I,1633
Linfield,Evil Empire,College,Men,,,,1634
Relic,,College,Men,,,,1635
Messiah B,,College,Men,,,,1636
Arkansas B,,College,Men,Division I,South Central,Ozarks D-I,1637
South Alabama,South Alabama,College,Men,,,,1638
Houston B,,College,Men,Division I,South Central,South Texas DI,1639
Southern Mississippi,Southern Miss Ultimate,College,Women,Division I,Southeast,Gulf Coast DI,1640
Central Connecticut State,Blue Barracudas,College,Women,Division I,Metro East,Hudson Valley DI,1641
Missouri B,,College,Men,Division I,South Central,Ozarks DI,1642
Gannon,Gannon Knights,College,Men,Division III,Ohio Valley,Pennsylvania D-III,1643
Southern California B,,College,Women,Developmental,Southwest,Southwest Dev,1644
San Diego State B,,College,Women,,,,1645
Colorado C,,College,Men,,,,1646
West Virginia B,,College,Men,Developmental,Ohio Valley,Ohio Valley Dev,1647
Western Illinois,Mass Hysteria,College,Men,Division I,Great Lakes,Illinois D-I,1648
Missouri S&T B,,College,Men,,,,1649
Southern Illinois,Full Tilt,College,Women,Division I,Great Lakes,Illinois D-I,1650
Elon B,,College,Men,Developmental,Atlantic Coast,Carolina Dev,1651
Armstrong Atlantic,Pirate Ultimate,College,Men,,,,1652
Bowling Green,Penguins,College,Men,Division I,Ohio Valley,Ohio D-I,1653
Williams B,,College,Men,Developmental,New England,South New England Dev,1654
Gettysburg,Gettysburg Funk,College,Men,Division III,Ohio Valley,Pennsylvania D-III,1655
Texas C,,College,Men,Division I,South Central,South Texas DI,1656
Canisius College,Wolf Pack,College,Men,Division III,Metro East,Western NY DIII,1657
SUNY-Brockport,Brockport Alumni,College,Women,Division I,Metro East,Western NY DI,1658
Queens College,MidKnight Sky,College,Men,,,,1659
Rider,Rider Rangers,College,Men,Division III,Metro East,Metro NY DIII,1660
Western Kentucky,Toppers Ultimate,College,Men,Division I,Great Lakes,East Plains DI,1661
Vanderbilt B,,College,Men,,,,1662
St Mary's (Maryland),,College,Women,Division III,Atlantic Coast,Atlantic Coast DIII,1663
Norwich,Norwich A,College,Men,Division III,New England,North New England DIII,1664
Boston College C,,College,Men,Developmental,New England,Metro Boston Dev,1665
Cal Poly-SLO B,,College,Women,Developmental,Southwest,Southwest Dev,1666
Middlebury B,,College,Women,,,,1667
New Hampshire B,,College,Men,Developmental,New England,New England Dev,1668
Wisconsin-Parkside,,College,Men,Division III,North Central,Lake Superior DIII,1669
Loras,,College,Men,Division III,North Central,West Plains DIII,1670
Lafayette,,College,Men,Division III,Ohio Valley,East Penn DIII,1671
Northern Colorado,,College,Men,Division I,South Central,Rocky Mountain DI,1672
Texas-Arlington,Yucca,College,Women,Division I,Southwest,Texas D-I,1673
IUPUI,,College,Men,Division I,Great Lakes,East Plains DI,1674
Louisville,,College,Men,Division I,Great Lakes,East Plains DI,1675
Bellarmine,,College,Men,Division III,Great Lakes,East Plains DIII,1676
Lesley,Illusion,College,Men,Division III,New England,Metro Boston DIII,1677
Olin,,College,Men,Division III,New England,Metro Boston DIII,1678
