team_id,team,gender,division,city,state,region,section
22254,Mixed Signals,Mixed,Club,Fort Collins,CO,South Central,Rocky Mountain
22249,Rising Tide U20X,Mixed,Club,Portland,ME,Northeast,East New England
22247,Garbage,Mixed,Club,Seattle,WA,Northwest,Washington/BC
22245,Garage Sale,Mixed,Club,Eugene,OR,Northwest,Oregon
22240,Love Tractor,Mixed,Club,Denver,CO,South Central,Rocky Mountain
22239,Madison United Mixed Ultimate,Mixed,Club,Madison,WI,North Central,Northwest Plains
22226,Chili Poppers,Mixed,Club,Fort Worth,TX,South Central,Texas
22225,Lights Out,Mixed,Club,Seattle,WA,Northwest,Washington/BC
22221,Equinox,Mixed,Club,Montpelier,VT,Northeast,West New England
22216,Seattle Mixtape,Mixed,Club,Seattle,WA,Northwest,Washington/BC
22214,Chaotic Good,Mixed,Club,Cambridge,MA,Northeast,East New England
22213,The Administrators,Mixed,Club,Portland,OR,Northwest,Oregon
22210,Midwestern Mediocrity,Mixed,Club,Grand Rapids,MI,Great Lakes,East Plains
22209,TBD,Mixed,Club,NYC,NY,Northeast,Metro NY
22208,Mixed on the Rock,Mixed,Club,Little Rock,AR,South Central,Ozarks
22207,Public Enemy,Mixed,Club,Dallas/Fort Worth,TX,South Central,Texas
22206,Buckwild,Mixed,Club,Sacramento,CA,Southwest,NorCal
22203,Mississippi Blues,Mixed,Club,Jackson,MS,Southeast,Gulf Coast
22192,California Burrito,Mixed,Club,San Diego,CA,Southwest,So Cal
22190,shame.,Mixed,Club,Fort Collins,CO,South Central,Rocky Mountain
22189,BW Ultimate,Mixed,Club,Sunnyvale,CA,Southwest,NorCal
22181,Moontower,Mixed,Club,Austin,TX,South Central,Texas
22179,Nothing's Great Again (aka Babymaker),Mixed,Club,Chicago,IL,Great Lakes,Central Plains
22178,Garbage Plates,Mixed,Club,Rochester,NY,Northeast,Upstate NY
22164,Balloon,Mixed,Club,College Station,TX,South Central,Texas
22162,Storm,Mixed,Club,Charlotte,NC,Southeast,North Carolina
22160,Megalodon,Mixed,Club,Sunnyvale,CA,Southwest,NorCal
22159,Hellbenders,Mixed,Club,Springfield,MO,North Central,West Plains
22157,Argo,Mixed,Club,San Francisco,CA,Southwest,NorCal
22154,VU,Mixed,Club,San Francisco,CA,Southwest,NorCal
