team,team_name,division,gender,competition,region,conference,id
George Fox,Bruins,College,Men,Division III,Northwest,Northwest DIII,988
Brown,Brownian Motion,College,Men,Division I,New England,Greater New England DI,989
Brown B,Brown - B,College,Men,Developmental,New England,Greater New England Dev,990
Duke,Brimstone,College,Men,Division I,Atlantic Coast,Carolina DI,991
UW-Eau Claire B,Breauzone,College,Men,Developmental,North Central,Lake Superior Dev,992
Claremont,Braineaters,College,Men,Division III,Southwest,Southwest DIII,993
Boston University,Boston University,College,Men,Division I,New England,Metro Boston DI,994
Maryland-Baltimore County,Booya,College,Men,Division I,Atlantic Coast,Colonial DI,995
Illinois B,Boomland,College,Men,Developmental,Great Lakes,Great Lakes Dev,996
Northwestern B,Bolt,College,Men,Developmental,Great Lakes,Great Lakes Dev,997
Wisconsin-Milwaukee B,BLACKOUT,College,Men,Developmental,North Central,North Central Dev,998
Maine,Blackfly,College,Men,Division I,New England,Greater New England DI,999
California-Santa Barbara,Black Tide,College,Men,Division I,Southwest,SoCal DI,1000
Olivet Nazarene,Black Penguins,College,Men,Division III,Great Lakes,Illinois DIII,1001
California-Santa Barbara B,Black Out,College,Men,Developmental,Southwest,Southwest Dev,1002
Wisconsin-Milwaukee,Black Cat,College,Men,Division I,North Central,Lake Superior DI,1003
Virginia Commonwealth University,Biscuit Villains,College,Men,Division I,Atlantic Coast,Virginia DI,1004
Elon,Big Fat Bomb,College,Men,Division III,Atlantic Coast,Carolina DIII,1005
Haverford,Big Donkey Ultimate,College,Men,Division III,Ohio Valley,East Penn DIII,1006
The Ohio State University B,Big Buckin' Chicken,College,Men,Developmental,Ohio Valley,Ohio Dev,1007
Belmont University,Belmont - Disco,College,Men,Division III,Southeast,Southeast DIII,1008
California-Irvine B,Bedtime,College,Men,Developmental,Southwest,Southwest Dev,1009
Oregon State,Beavers,College,Men,Division I,Northwest,Cascadia DI,1010
Northeastern B,Beastern,College,Men,Developmental,New England,Metro Boston Dev,1011
Cincinnati,Bearcats,College,Men,Division I,Ohio Valley,Ohio DI,1012
Coastal Carolina,Beach Chickens,College,Men,Division I,Atlantic Coast,Carolina DI,1013
North Carolina B,BatCH,College,Men,Developmental,Atlantic Coast,Southern Atlantic Coast Dev,1014
Southern Methodist,Bankroll,College,Men,Division I,South Central,North Texas DI,1015
Whitworth,Bangarang,College,Men,Division III,Northwest,Northwest DIII,1016
Towson B,Bamboozle,College,Men,Developmental,Atlantic Coast,Colonial Dev,1017
Catholic,Bad Habit,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII,1018
Lewis & Clark,Bacchus,College,Men,Division III,Northwest,Northwest DIII,1019
