team_id,team,team_name,division,gender,competition,region,conference
24625,Iowa State,ISUC,College,Men,Division I,North Central,West Plains DI
24675,John Brown,Ironfist,College,Men,Division III,South Central,Ozarks DIII
23249,East Carolina,Irates,College,Men,Division I,Atlantic Coast,Carolina DI
24512,Alabama-Birmingham,Inferno,College,Men,Division I,Southeast,Gulf Coast DI
23690,Iowa,IHUC,College,Men,Division I,North Central,West Plains DI
23050,Mississippi,HYDRa,College,Men,Division I,Southeast,Gulf Coast DI
23431,Northeastern,Huskies,College,Men,Division I,New England,Metro Boston DI
23235,Humboldt State,Humboldt State Buds,College,Men,Division I,Southwest,NorCal DI
24539,Kansas,Horrorzontals,College,Men,Division I,South Central,Ozarks DI
23214,Indiana,HoosierMama?s,College,Men,Division I,Great Lakes,East Plains DI
23997,Wisconsin,Hodags,College,Men,Division I,North Central,Lake Superior DI
24015,High Point,High Point University Bagheera,College,Men,Division III,Atlantic Coast,Carolina DIII
24435,Texas Christian,High Noon,College,Men,Division I,South Central,North Texas DI
24701,Colorado State B,Hibida,College,Men,Division I,South Central,Rocky Mountain DI
24493,Colorado State,Hibida,College,Men,Division I,South Central,Rocky Mountain DI
24722,James Madison,Hellfish,College,Men,Division I,Atlantic Coast,Virginia DI
24687,Allegheny,Hellbender,College,Men,Division III,Ohio Valley,West Penn DIII
24927,Central Florida B,Havoc,College,Men,Developmental,Southeast,Southeast Dev
24757,Carnegie Mellon B,Harmful,College,Men,Developmental,Ohio Valley,Ohio Valley Dev
24542,New Mexico,Hanta Virus,College,Men,Division I,Southwest,Desert DI
25081,Edinboro,Haggis,College,Men,Division I,Ohio Valley,West Penn DI
24110,Ave Maria,Gyrenes,College,Men,Division III,Southeast,Eastern Southeast DIII
23649,Gonzaga,GURU,College,Men,Division I,Northwest,Big Sky DI
25001,Grinnell,Grinnellephants,College,Men,Division III,North Central,West Plains DIII
24217,MIT,Grim Beaver,College,Men,Division I,New England,Metro Boston DI
23616,Minnesota,Grey Duck,College,Men,Division I,North Central,Northwoods DI
24903,SUNY-Buffalo,Green Eggs and Ham,College,Men,Division I,Metro East,Western NY DI
24641,Texas B,Graze,College,Men,Division I,South Central,South Texas DI
23887,Sonoma State,Grapes of Wrath,College,Men,Division I,Southwest,NorCal DI
23994,Goucher,Gophbusters,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII
24613,Akron,GoonSquad,College,Men,Division I,Ohio Valley,Ohio DI
23219,Carleton College-GoP,Gods of Plastic,College,Men,Division III,North Central,Northwoods DIII
24612,Illinois State,Gnomes,College,Men,Division I,Great Lakes,Illinois DI
24354,South Carolina,Gamecock Ultimate,College,Men,Division I,Atlantic Coast,Carolina DI
24868,George Washington,G-Dub Hippos,College,Men,Division I,Atlantic Coast,Colonial DI
24802,George Washington B,G-Dub Bippos,College,Men,Developmental,Atlantic Coast,Colonial Dev
25227,Colorado-Denver,Frostbite,College,Men,Division I,South Central,Rocky Mountain DI
23610,Stephen F. Austin,Frontier,College,Men,Division I,South Central,North Texas DI
24990,Yale B,Friends of Gravity,College,Men,Developmental,Metro East,Metro East Dev
25102,Oberlin B,Flying Horsecows,College,Men,Developmental,Ohio Valley,Ohio Valley Dev
23243,Oberlin,Flying Horsecows,College,Men,Division III,Ohio Valley,Ohio DIII
23719,Hofstra,Flying Dutchmen,College,Men,Division I,Metro East,Metro NY DI
