team_id,team,team_name,division,gender,competition,region,conference
24708,Indiana,Calamity Jane,College,Women,Division I,Great Lakes,Eastern Great Lakes DI
24102,California B,Cal Tarts,College,Women,Developmental,Southwest,Southwest Dev
24337,California-Santa Barbara,Burning Skirts,College,Women,Division I,Southwest,SoCal DI
23334,Virginia Tech,Burnettes,College,Women,Division I,Atlantic Coast,Virginia DI
24223,Boise State,Buffalo Gals,College,Women,Division I,Northwest,Big Sky DI
23148,Boston College,Boston College,College,Women,Division I,New England,Metro Boston DI
24519,New Mexico,Bombshells,College,Women,Division I,Southwest,Desert DI
24707,Johns Hopkins,Blue-Footed Boobies,College,Women,Division I,Atlantic Coast,Colonial DI
23272,UCLA,BLU,College,Women,Division I,Southwest,SoCal DI
24715,Wisconsin-Milwaukee,BlackCat,College,Women,Division I,North Central,Lake Superior DI
24507,East Carolina,Black Pearl,College,Women,Division I,Atlantic Coast,Carolina DI
24913,Nevada-Reno,Black Ice,College,Women,Division I,Southwest,NorCal DI
23726,James Madison,Bitchmonkeys,College,Women,Division I,Atlantic Coast,Virginia DI
24740,Tennessee,Big Orange Screw,College,Women,Division I,Southeast,Southern Appalachian DI
23255,Washington B,Big Bang,College,Women,Developmental,Northwest,Cascadia DI
23873,Kansas,Betty Ultimate,College,Women,Division I,South Central,Ozarks DI
24732,Shippensburg,Bellewethers,College,Women,Division III,Ohio Valley,Pennsylvania DIII
23461,Wisconsin,Bella Donna,College,Women,Division I,North Central,Lake Superior DI
23461,Wisconsin,Bella Donna,College,Women,Developmental,North Central,Lake Superior DI
23282,Baylor,Bearicade,College,Women,Division I,South Central,Texas DI
23131,Brandeis,Banshee,College,Women,Division III,New England,Metro Boston DIII
25080,Wisconsin-Oshkosh,Aviatrix,College,Women,Division I,North Central,Lake Superior DI
23074,North Georgia,Aurea Ultimate,College,Women,Division III,Southeast,Southeast DIII
23672,Georgia,Athena,College,Women,Division I,Southeast,Southern Appalachian DI
25015,Lewis & Clark,Artemis,College,Women,Division III,Northwest,Northwest DIII
24688,Auburn,Ares,College,Women,Division I,Southeast,Gulf Coast DI
24591,College of New Jersey,Anarchy,College,Women,Division III,Metro East,Eastern Metro East DIII
24788,Trinity,Altitude,College,Women,Division III,South Central,South Central DIII
24201,Knox,Alley Cats,College,Women,Division III,Great Lakes,Great Lakes DIII
25022,Goucher,All You Can Eat,College,Women,Division III,Atlantic Coast,Atlantic Coast DIII
23943,Akron,Akron Gold Diggers,College,Women,Division I,Ohio Valley,Ohio DI
24816,Christopher Newport,Airbenders,College,Women,Division III,Atlantic Coast,Atlantic Coast DIII
